pressmark,record_url,digitization_type,digitization_url
latin 8238,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc675078,none,none
latin 8239,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67508h,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b100354302
latin 8240,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67509r,none,none
latin 8241,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67510s,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9078305t
latin 8242,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc675111,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9066797j
latin 8243,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc675128,colorized,http://gallica.bnf.fr/ark:/12148/btv1b100278640
latin 8244,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67513h,colorized,http://gallica.bnf.fr/ark:/12148/btv1b52526218s
latin 8245,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67514r,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b90670768
latin 8246,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc675150,none,none
latin 8247,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67517g,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b90779898
latin 8248,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67518q,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b100358887
latin 8249,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67519z,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10035889p
latin 8250,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc675200,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b100358902
latin 8251,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc675217,none,none
latin 8252,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67522g,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b100382596
latin 8253,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67523q,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9067056h
latin 8254,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc675256,none,none
latin 8255,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67526f,none,none
latin 8256,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67527p,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10036316w
latin 8257,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67528x,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10034339c
latin 8258,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc675295,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b90678761
latin 8259,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc675306,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b100329891
